SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
May-12-2020,1806 NW 32nd Ave,97210,1636000,3,4.5,WILLAMETTE HEIGHTS,4427,7840,1902,100,370,0,45.535334,-122.7143678
February-25-2020,7720 SE 30th Ave,97202,999300,5,3,EASTMORELAND,4437,7405,1931,177,225,0,45.4684987,-122.6321017
July-31-2020,2475 NW Overton St,97210,1535000,4,2.5,NORTHWEST,4474,4791,1908,20,343,0,45.5320888,-122.7023181
August-11-2020,1733 SE 40th Ave,97214,1850000,5,5.5,HAWTHORNE,4504,17424,1924,9,411,0,45.5103029,-122.6215517
June-30-2020,616 SE Andover Pl,97202,1141000,4,3,GARTHWICK,4525,19602,1948,51,252,0,45.4576223,-122.6499841
June-26-2020,1149 SW Davenport St,97201,1600000,4,3.5,PORTLAND HEIGHTS,4537,10018,1943,55,353,0,45.5055531,-122.6907393
August-7-2020,3463 SE Ankeny St,97214,1544000,5,3.5,LAURELHURST,4577,7405,1918,13,337,0,45.5223974,-122.6274023
July-17-2020,3443 SW Doschview Ct,97239,1050000,4,3.5,RALEIGH HILLS,4595,17859,2006,34,229,67,45.4987751,-122.7111534
May-29-2020,2397 SW Montgomery Dr,97201,880000,5,4,PORTLAND HEIGHTS,4603,17859,1914,83,191,0,45.5103421,-122.7020669
August-10-2020,1205 SE Tolman St,97202,1997900,4,4,WESTMORELAND,4616,6534,1956,10,433,0,45.4773652,-122.6533752
June-16-2020,4125 SW 6th Avenue Dr,97239,875000,6,4,HOMESTEAD,4622,7840,1946,65,189,0,45.493409,-122.6841572
June-16-2020,3840 SW Dosch Rd,97239,1995000,4,4,WEST HILLS,4634,44431,1928,65,431,0,45.4954968,-122.7114463
March-6-2020,4522 SW Council Crest Dr,97239,1050000,5,3.5,COUNCIL CREST,4645,6969,2012,167,226,0,45.4902595,-122.6966221
